Enter the file size to process:
8
Total execution time is 1547 seconds
The top 100 elements are 
Word			Frequency
the             142487086
quot            131585830
and             69220506
title           61488231
ref             51751180
amp             49225842
text            49075004
page            43551751
User            39032500
http            31158548
The             30290149
format          30216932
timestamp       29739717
model           29146823
revision        28976784
contributor     28877146
sha             28819730
username        28732925
for             28595464
Category        28259946
comment         28177273
talk            27478425
com             26699461
www             25977261
name            25490183
was             22417581
org             21679663
parentid        20858357
date            18870014
that            17894127
with            17732012
style           17065159
space           16651419
from            16130333
wiki            16005668
align           15562284
web             14532426
xml             14515617
preserve        14445312
wikitext        14410739
small           14201593
url             13890427
UTC             13541041
cite            12501452
Wikipedia       12328698
php             11879395
span            11633046
wikipedia       11589677
diff            11580424
font            11522225
this            11165250
not             11119624
index           11005113
center          10860384
redirect        10554647
color           10069937
first           10010916
https           9793802
link            9055291
are             8897038
accessdate      8849447
COIBot          8317123
publisher       8040208
oldid           7981094
article         7944509
his             7939769
image           7359849
background      7167423
html            7153250
last            6915200
has             6824392
user            6524165
news            6426159
minor           6406500
New             6332496
United          6166300
have            6161295
nbsp            6146603
which           6036545
you             5956112
left            5954204
domain          5923750
deletion        5912897
type            5859906
team            5827815
but             5787673
also            5590499
archive         5512341
discussion      5426820
year            5413914
flagicon        5339690
Special         5202424
time            5195381
were            5120157
sup             5077419
other           5028623
one             4964632
class           4929818
WUL             4891112
May             4870008
